index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price,departure,arival
0,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,785,"1 stop",26890,"2019-01-03 11:40:00","2019-01-04 00:45:00"
1,SpiceJet,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",15:35,485,"1 stop",7744,"2019-01-03 15:35:00","2019-01-03 23:40:00"
2,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,740,"1 stop",27992,"2019-01-03 08:00:00","2019-01-03 20:20:00"
3,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → AMD → DEL",8:50,2345,"2 stops",17135,"2019-01-03 08:50:00","2019-01-04 23:55:00"
4,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1425,"1 stop",25735,"2019-01-03 11:40:00","2019-01-04 11:25:00"
5,"Air India",2019-01-03,Banglore,"New Delhi","BLR → VGA → HYD → DEL",10:30,655,"2 stops",11213,"2019-01-03 10:30:00","2019-01-03 21:25:00"
6,"Air India",2019-01-03,Banglore,"New Delhi","BLR → VGA → VTZ → DEL",10:30,435,"2 stops",17461,"2019-01-03 10:30:00","2019-01-03 17:45:00"
7,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → BBI → HYD → DEL",5:50,1825,"3 stops",12346,"2019-01-03 05:50:00","2019-01-04 12:15:00"
8,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,1420,"1 stop",22270,"2019-01-03 08:00:00","2019-01-04 07:40:00"
9,IndiGo,2019-01-03,Chennai,Kolkata,"MAA → CCU",7:55,140,non-stop,8580,"2019-01-03 07:55:00","2019-01-03 10:15:00"
10,"Air India",2019-01-03,Delhi,Cochin,"DEL → BLR → COK",9:45,1350,"1 stop",22798,"2019-01-03 09:45:00","2019-01-04 08:15:00"
11,IndiGo,2019-01-03,Chennai,Kolkata,"MAA → CCU",13:20,135,non-stop,7295,"2019-01-03 13:20:00","2019-01-03 15:35:00"
12,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → GAU → DEL",5:50,980,"2 stops",13366,"2019-01-03 05:50:00","2019-01-03 22:10:00"
13,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",15:10,155,non-stop,6565,"2019-01-03 15:10:00","2019-01-03 17:45:00"
14,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",16:55,90,non-stop,8853,"2019-01-03 16:55:00","2019-01-03 18:25:00"
15,SpiceJet,2019-01-03,Kolkata,Banglore,"CCU → BLR",22:20,140,non-stop,5515,"2019-01-03 22:20:00","2019-01-04 00:40:00"
16,"Air India",2019-01-03,Banglore,"New Delhi","BLR → MAA → DEL",11:50,1265,"1 stop",14594,"2019-01-03 11:50:00","2019-01-04 08:55:00"
17,IndiGo,2019-01-03,Chennai,Kolkata,"MAA → CCU",11:35,145,non-stop,7900,"2019-01-03 11:35:00","2019-01-03 14:00:00"
18,"Air India",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",4:00,1660,"1 stop",28322,"2019-01-03 04:00:00","2019-01-04 07:40:00"
19,"Air India",2019-01-03,Banglore,"New Delhi","BLR → VGA → DEL",10:30,745,"1 stop",11003,"2019-01-03 10:30:00","2019-01-03 22:55:00"
20,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,885,"1 stop",26890,"2019-01-03 16:55:00","2019-01-04 07:40:00"
21,"Air Asia",2019-01-03,Banglore,"New Delhi","BLR → DEL",5:50,170,non-stop,10715,"2019-01-03 05:50:00","2019-01-03 08:40:00"
22,"Air India",2019-01-03,Banglore,"New Delhi","BLR → DEL",17:00,165,non-stop,25913,"2019-01-03 17:00:00","2019-01-03 19:45:00"
23,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,405,"1 stop",26890,"2019-01-03 11:40:00","2019-01-03 18:25:00"
24,"Air India",2019-01-03,Banglore,"New Delhi","BLR → AMD → DEL",0:30,1405,"1 stop",12599,"2019-01-03 00:30:00","2019-01-03 23:55:00"
25,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → BBI → HYD → VGA → DEL",5:50,1770,"4 stops",17686,"2019-01-03 05:50:00","2019-01-04 11:20:00"
